Depth of the solution path: 656
Number of nodes expanded: 4505
Length of explored: 2680
Final number of nodes in container: 1825
Max number of nodes in container: 2560
Mean number of nodes in container: 1739.9022388059702

=== Solution ===
car_index, new_row, new_col
5, 4, 0
2, 3, 0
10, 1, 5
11, 3, 5
3, 5, 4
2, 3, 1
5, 3, 0
3, 5, 3
9, 2, 4
11, 4, 5
5, 4, 0
4, 2, 0
11, 3, 5
3, 5, 4
4, 0, 0
5, 2, 0
3, 5, 3
11, 4, 5
9, 1, 4
5, 4, 0
11, 3, 5
0, 2, 0
3, 5, 4
5, 3, 0
9, 2, 4
3, 5, 3
11, 4, 5
5, 4, 0
2, 3, 0
11, 3, 5
3, 5, 4
8, 4, 3
2, 3, 1
5, 3, 0
9, 1, 4
0, 2, 2
5, 4, 0
2, 3, 0
8, 3, 3
3, 5, 3
11, 4, 5
0, 2, 0
8, 2, 3
11, 3, 5
3, 5, 4
0, 2, 1
9, 2, 4
3, 5, 3
11, 4, 5
8, 3, 3
10, 2, 5
8, 1, 3
2, 3, 1
5, 3, 0
1, 0, 2
5, 2, 0
10, 0, 5
11, 2, 5
3, 5, 4
11, 3, 5
9, 1, 4
3, 5, 3
5, 4, 0
11, 4, 5
5, 3, 0
11, 2, 5
3, 5, 4
5, 4, 0
2, 3, 0
3, 5, 3
0, 2, 0
2, 3, 1
9, 2, 4
3, 5, 4
5, 3, 0
11, 3, 5
3, 5, 3
9, 1, 4
10, 1, 5
11, 4, 5
5, 4, 0
2, 3, 0
11, 3, 5
3, 5, 4
0, 2, 1
2, 3, 1
5, 3, 0
9, 2, 4
3, 5, 3
5, 4, 0
11, 4, 5
2, 3, 0
10, 0, 5
11, 3, 5
3, 5, 4
0, 2, 0
8, 4, 3
11, 2, 5
8, 2, 3
3, 5, 3
11, 4, 5
9, 1, 4
11, 3, 5
3, 5, 4
8, 3, 3
11, 2, 5
0, 2, 2
3, 5, 3
11, 4, 5
0, 2, 1
11, 3, 5
10, 1, 5
8, 2, 3
11, 4, 5
10, 2, 5
9, 2, 4
4, 1, 0
10, 0, 5
11, 2, 5
3, 5, 4
11, 3, 5
9, 1, 4
8, 4, 3
11, 2, 5
2, 3, 1
5, 3, 0
11, 3, 5
0, 2, 2
5, 4, 0
9, 2, 4
11, 2, 5
5, 3, 0
4, 0, 0
5, 2, 0
11, 3, 5
9, 1, 4
0, 2, 1
5, 4, 0
0, 2, 0
5, 3, 0
9, 2, 4
0, 2, 1
10, 1, 5
5, 4, 0
2, 3, 0
8, 3, 3
0, 2, 2
3, 5, 3
11, 4, 5
10, 2, 5
6, 1, 1
10, 0, 5
11, 2, 5
3, 5, 4
8, 4, 3
2, 3, 1
11, 3, 5
5, 3, 0
9, 1, 4
11, 2, 5
5, 2, 0
1, 0, 1
11, 3, 5
5, 4, 0
2, 3, 0
8, 3, 3
3, 5, 3
11, 4, 5
9, 0, 4
11, 2, 5
3, 5, 4
8, 4, 3
2, 3, 2
5, 2, 0
11, 3, 5
5, 3, 0
2, 3, 1
11, 2, 5
9, 2, 4
4, 1, 0
5, 4, 0
2, 3, 0
8, 3, 3
3, 5, 3
11, 4, 5
10, 2, 5
9, 0, 4
10, 1, 5
11, 3, 5
3, 5, 4
8, 4, 3
2, 3, 2
5, 3, 0
2, 3, 1
9, 2, 4
5, 4, 0
9, 1, 4
4, 2, 0
9, 0, 4
4, 0, 0
5, 2, 0
9, 2, 4
1, 0, 3
9, 1, 4
1, 0, 2
5, 4, 0
2, 3, 0
8, 3, 3
3, 5, 3
11, 4, 5
4, 1, 0
10, 2, 5
6, 0, 1
0, 2, 1
10, 1, 5
9, 2, 4
11, 3, 5
10, 0, 5
0, 2, 2
3, 5, 4
9, 1, 4
10, 1, 5
8, 4, 3
9, 2, 4
1, 0, 3
8, 3, 3
3, 5, 3
11, 4, 5
6, 1, 1
1, 0, 0
11, 3, 5
3, 5, 4
8, 4, 3
9, 1, 4
10, 0, 5
8, 3, 3
3, 5, 3
11, 4, 5
9, 0, 4
11, 2, 5
3, 5, 4
8, 4, 3
2, 3, 2
5, 3, 0
2, 3, 1
11, 3, 5
5, 4, 0
4, 2, 0
2, 3, 2
6, 4, 1
11, 2, 5
6, 2, 1
1, 0, 1
11, 3, 5
6, 3, 1
0, 2, 1
11, 2, 5
6, 4, 1
2, 3, 1
11, 3, 5
0, 2, 2
4, 0, 0
5, 2, 0
11, 2, 5
0, 2, 1
2, 3, 2
